id,date,primary_type,location_description,arrest,domestic,community_area,year,latitude,longitude
13973819,2025-09-17T00:00:00.000,OTHER OFFENSE,RESIDENCE,False,True,43,2025,41.764273074,-87.582057311
13969213,2025-09-17T00:00:00.000,PUBLIC PEACE VIOLATION,SIDEWALK,True,False,32,2025,41.883753521,-87.626232394
13970382,2025-09-17T00:00:00.000,CRIMINAL DAMAGE,STREET,False,False,49,2025,41.723538121,-87.631332595
13975158,2025-09-17T00:00:00.000,CRIMINAL DAMAGE,RESIDENCE,False,False,56,2025,41.806960476,-87.74436263
13969371,2025-09-17T00:00:00.000,BURGLARY,SMALL RETAIL STORE,False,False,7,2025,41.912497106,-87.651724691
13970235,2025-09-17T00:00:00.000,ASSAULT,SIDEWALK,False,False,69,2025,41.763236874,-87.609160462
13976072,2025-09-17T00:00:00.000,CRIMINAL DAMAGE,APARTMENT,False,False,3,2025,,
13969696,2025-09-17T00:00:00.000,ASSAULT,OTHER COMMERCIAL TRANSPORTATION,False,False,24,2025,41.910699488,-87.662886582
13969253,2025-09-17T00:00:00.000,CRIMINAL DAMAGE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,32,2025,41.870389764,-87.625902397
13969167,2025-09-17T00:00:00.000,CRIMINAL DAMAGE,STREET,False,True,69,2025,41.757229871,-87.634462025
13970193,2025-09-17T00:00:00.000,BATTERY,APARTMENT,False,True,7,2025,41.930891875,-87.640757462
13972831,2025-09-17T00:00:00.000,DECEPTIVE PRACTICE,RESIDENCE,False,False,70,2025,41.743313634,-87.708320062
13969335,2025-09-17T00:00:00.000,BURGLARY,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,False,False,76,2025,41.961997604,-87.884151867
13971401,2025-09-17T00:00:00.000,MOTOR VEHICLE THEFT,STREET,False,False,15,2025,41.958767949,-87.758118131
13970541,2025-09-17T00:00:00.000,CRIMINAL DAMAGE,STREET,False,False,71,2025,41.733410196,-87.642326181
13970177,2025-09-17T00:00:00.000,ASSAULT,APARTMENT,False,False,22,2025,41.917368273,-87.709692585
13969894,2025-09-17T00:00:00.000,OTHER OFFENSE,APARTMENT,False,False,69,2025,41.764587377,-87.62327941
13969222,2025-09-17T00:00:00.000,BATTERY,APARTMENT,False,False,1,2025,42.018568447,-87.680456684
13969639,2025-09-17T00:00:00.000,OTHER OFFENSE,RESIDENCE,False,False,40,2025,41.79771831,-87.620922418
13969743,2025-09-17T00:00:00.000,MOTOR VEHICLE THEFT,STREET,False,False,30,2025,41.849435421,-87.695377869
13969233,2025-09-16T23:55:00.000,INTERFERENCE WITH PUBLIC OFFICER,PARK PROPERTY,True,False,32,2025,41.880509252,-87.624358666
13969203,2025-09-16T23:54:00.000,BATTERY,APARTMENT,False,True,49,2025,41.693870852,-87.613406498
13969158,2025-09-16T23:46:00.000,WEAPONS VIOLATION,STREET,True,False,32,2025,41.883376682,-87.627874384
13969229,2025-09-16T23:39:00.000,CRIMINAL SEXUAL ASSAULT,SIDEWALK,False,False,69,2025,41.751305337,-87.603628907
13974728,2025-09-16T23:37:00.000,BURGLARY,RESIDENCE,False,False,12,2025,41.99139444,-87.752792298
13969320,2025-09-16T23:36:00.000,WEAPONS VIOLATION,STREET,True,False,61,2025,41.800655526,-87.669627941
13969224,2025-09-16T23:32:00.000,PUBLIC PEACE VIOLATION,STREET,True,False,32,2025,41.873229642,-87.619625531
13969680,2025-09-16T23:30:00.000,CRIMINAL DAMAGE,RESIDENCE,False,False,53,2025,41.660246961,-87.636518027
13969728,2025-09-16T23:30:00.000,THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,77,2025,41.985495957,-87.657306086
13969202,2025-09-16T23:30:00.000,THEFT,RESIDENCE,False,True,67,2025,41.783978336,-87.666756685
13969260,2025-09-16T23:30:00.000,BATTERY,STREET,False,False,42,2025,41.773148139,-87.605075066
13969196,2025-09-16T23:28:00.000,OTHER OFFENSE,RESIDENCE,False,False,49,2025,41.702986539,-87.61852682
13969228,2025-09-16T23:25:00.000,ASSAULT,APARTMENT,False,False,8,2025,41.909786287,-87.633105375
13969191,2025-09-16T23:17:00.000,WEAPONS VIOLATION,STREET,True,False,32,2025,41.884829417,-87.626257254
13969238,2025-09-16T23:14:00.000,ASSAULT,APARTMENT,False,True,28,2025,41.868219921,-87.664046556
13969516,2025-09-16T23:13:00.000,BATTERY,RESIDENCE,False,True,53,2025,41.678929477,-87.632297155
13969210,2025-09-16T23:10:00.000,THEFT,STREET,False,False,32,2025,41.884790951,-87.624469241
13969265,2025-09-16T23:07:00.000,BATTERY,APARTMENT,False,True,38,2025,41.812180397,-87.618231125
13969244,2025-09-16T23:06:00.000,BATTERY,STREET,False,False,32,2025,41.884493752,-87.627454466
13969164,2025-09-16T23:01:00.000,BATTERY,SIDEWALK,True,False,20,2025,41.924406431,-87.733233575
13969410,2025-09-16T23:00:00.000,THEFT,SIDEWALK,False,False,44,2025,41.728177114,-87.604619718
13969296,2025-09-16T23:00:00.000,BATTERY,VEHICLE NON-COMMERCIAL,False,True,27,2025,41.872676421,-87.714415729
13969192,2025-09-16T23:00:00.000,INTERFERENCE WITH PUBLIC OFFICER,STREET,True,False,32,2025,41.884829417,-87.626257254
13969157,2025-09-16T23:00:00.000,BATTERY,RESIDENCE,False,True,1,2025,42.012825505,-87.682016744
13971142,2025-09-16T23:00:00.000,THEFT,STREET,False,False,24,2025,41.895172359,-87.666141629
13969378,2025-09-16T23:00:00.000,THEFT,ALLEY,False,False,30,2025,41.851196981,-87.702785665
13969674,2025-09-16T23:00:00.000,ASSAULT,RESIDENCE,True,True,28,2025,41.882557605,-87.679111003
13969193,2025-09-16T22:58:00.000,BATTERY,APARTMENT,True,True,4,2025,41.968565569,-87.694433309
13969144,2025-09-16T22:56:00.000,OTHER OFFENSE,STREET,False,False,32,2025,41.884139733,-87.627899041
13969172,2025-09-16T22:50:00.000,ASSAULT,RESIDENCE,True,True,61,2025,41.807867324,-87.67102436
13969127,2025-09-16T22:45:00.000,ASSAULT,SIDEWALK,False,False,6,2025,41.937684041,-87.642617229
13969217,2025-09-16T22:45:00.000,BURGLARY,APARTMENT,False,False,30,2025,41.852731587,-87.701390474
13969139,2025-09-16T22:43:00.000,WEAPONS VIOLATION,STREET,True,False,57,2025,41.805056869,-87.723502907
13969223,2025-09-16T22:42:00.000,WEAPONS VIOLATION,STREET,True,False,31,2025,41.843951386,-87.685394834
13969185,2025-09-16T22:30:00.000,ASSAULT,APARTMENT,False,True,28,2025,41.882103874,-87.684752469
13969137,2025-09-16T22:30:00.000,PUBLIC PEACE VIOLATION,STREET,True,False,8,2025,41.888521512,-87.629562251
13969250,2025-09-16T22:28:00.000,CRIMINAL DAMAGE,APARTMENT,False,True,42,2025,41.774798645,-87.614852139
13969108,2025-09-16T22:20:00.000,BATTERY,CTA BUS STOP,False,False,29,2025,41.866168484,-87.725474038
13969201,2025-09-16T22:15:00.000,ASSAULT,APARTMENT,False,True,69,2025,41.759314882,-87.613903333
13969266,2025-09-16T22:10:00.000,BATTERY,OTHER (SPECIFY),False,False,8,2025,41.889561428,-87.620196651
13969209,2025-09-16T22:10:00.000,BATTERY,RESIDENCE,False,False,43,2025,41.756383676,-87.565110651
13969346,2025-09-16T22:00:00.000,THEFT,STREET,False,False,30,2025,41.845157343,-87.725269253
13970090,2025-09-16T22:00:00.000,CRIMINAL SEXUAL ASSAULT,RESIDENCE,False,False,25,2025,41.911646595,-87.775301755
13969166,2025-09-16T22:00:00.000,BATTERY,STREET,False,False,28,2025,41.869311235,-87.663422037
13969180,2025-09-16T22:00:00.000,THEFT,ATHLETIC CLUB,False,False,21,2025,41.93791173,-87.727149134
13970708,2025-09-16T22:00:00.000,MOTOR VEHICLE THEFT,STREET,False,False,32,2025,41.876382676,-87.630734588
13969276,2025-09-16T22:00:00.000,OTHER OFFENSE,APARTMENT,False,True,68,2025,41.767062556,-87.641239381
13969621,2025-09-16T22:00:00.000,THEFT,RESIDENCE,False,False,47,2025,41.724937727,-87.59243211
13969176,2025-09-16T21:52:00.000,NARCOTICS,STREET,True,False,29,2025,41.862390529,-87.715865892
13969890,2025-09-16T21:49:00.000,BATTERY,APARTMENT,False,True,69,2025,41.758331064,-87.619404694
13969291,2025-09-16T21:45:00.000,CRIMINAL DAMAGE,VEHICLE NON-COMMERCIAL,False,True,5,2025,41.955840733,-87.689531053
13969448,2025-09-16T21:45:00.000,BURGLARY,RESIDENCE - GARAGE,False,False,6,2025,41.939139978,-87.645152297
13969389,2025-09-16T21:30:00.000,THEFT,ATHLETIC CLUB,False,False,14,2025,41.975368669,-87.745851197
13970607,2025-09-16T21:30:00.000,BURGLARY,RESIDENCE,False,False,25,2025,41.911780113,-87.789981555
13970038,2025-09-16T21:30:00.000,CRIMINAL DAMAGE,STREET,False,False,15,2025,41.94422336,-87.753161613
13969159,2025-09-16T21:30:00.000,CRIMINAL DAMAGE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,22,2025,41.925886611,-87.678679535
13969231,2025-09-16T21:30:00.000,BURGLARY,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,22,2025,41.930049492,-87.685920733
13969140,2025-09-16T21:27:00.000,NARCOTICS,STREET,True,False,44,2025,41.748988689,-87.632653153
13969351,2025-09-16T21:22:00.000,BURGLARY,STREET,False,False,8,2025,41.895812076,-87.619638609
13969684,2025-09-16T21:20:00.000,CRIMINAL TRESPASS,PARK PROPERTY,False,False,60,2025,41.84097894,-87.649353839
13969469,2025-09-16T21:20:00.000,STALKING,APARTMENT,False,False,19,2025,41.918161759,-87.760878565
13969087,2025-09-16T21:15:00.000,BURGLARY,APARTMENT,False,False,7,2025,41.920635754,-87.653453242
13969098,2025-09-16T21:14:00.000,CRIMINAL DAMAGE,APARTMENT,False,True,68,2025,41.764545628,-87.637084106
13971131,2025-09-16T21:13:00.000,THEFT,DEPARTMENT STORE,False,False,7,2025,41.921904892,-87.642636783
13969786,2025-09-16T21:11:00.000,ASSAULT,APARTMENT,False,True,29,2025,41.870028132,-87.708823855
13976376,2025-09-16T21:09:00.000,THEFT,SMALL RETAIL STORE,False,False,63,2025,,
13969111,2025-09-16T21:07:00.000,BATTERY,RESIDENCE,False,True,53,2025,41.671606006,-87.642918034
13969112,2025-09-16T21:05:00.000,ASSAULT,RESIDENCE,False,True,58,2025,41.824935326,-87.70446696
13969080,2025-09-16T21:00:00.000,BATTERY,APARTMENT,False,True,7,2025,41.918310395,-87.639523015
13969116,2025-09-16T21:00:00.000,CRIMINAL DAMAGE,STREET,False,False,28,2025,41.863352927,-87.676153315
13969232,2025-09-16T21:00:00.000,CRIMINAL DAMAGE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,22,2025,41.930049492,-87.685920733
13969781,2025-09-16T21:00:00.000,CRIMINAL SEXUAL ASSAULT,RESIDENCE,False,False,30,2025,41.851178006,-87.700333998
13969230,2025-09-16T21:00:00.000,CRIMINAL DAMAGE,APARTMENT,False,False,30,2025,41.847869685,-87.696589927
13974760,2025-09-16T21:00:00.000,MOTOR VEHICLE THEFT,HOTEL / MOTEL,False,False,42,2025,41.786052486,-87.595721929
13969105,2025-09-16T21:00:00.000,ASSAULT,STREET,False,False,27,2025,41.874901184,-87.694717111
13969845,2025-09-16T21:00:00.000,CRIMINAL DAMAGE,APARTMENT,False,False,8,2025,41.906954091,-87.632181183
13969332,2025-09-16T21:00:00.000,BURGLARY,STREET,False,False,28,2025,41.879189742,-87.648862058
13969093,2025-09-16T20:55:00.000,BATTERY,APARTMENT,False,True,52,2025,41.722096612,-87.53891799
13969146,2025-09-16T20:53:00.000,NARCOTICS,STREET,True,False,67,2025,41.760480866,-87.655828204
13969124,2025-09-16T20:49:00.000,INTERFERENCE WITH PUBLIC OFFICER,CTA BUS STOP,True,False,44,2025,41.743503863,-87.60501807
13969122,2025-09-16T20:48:00.000,WEAPONS VIOLATION,STREET,True,False,66,2025,41.784011918,-87.700848415
13969178,2025-09-16T20:40:00.000,THEFT,STREET,False,False,29,2025,41.855946829,-87.716342668
13969060,2025-09-16T20:34:00.000,BATTERY,RESIDENCE,False,True,46,2025,41.750825878,-87.563791665
13969090,2025-09-16T20:34:00.000,BATTERY,RESIDENCE - YARD (FRONT / BACK),False,True,73,2025,41.718019577,-87.657937301
13969237,2025-09-16T20:33:00.000,MOTOR VEHICLE THEFT,RESIDENCE,False,False,44,2025,41.750378603,-87.600311872
13969131,2025-09-16T20:30:00.000,CRIMINAL DAMAGE,RESIDENCE,False,False,19,2025,41.932046293,-87.765043245
13969150,2025-09-16T20:30:00.000,THEFT,STREET,False,False,22,2025,41.925886611,-87.678679535
13969110,2025-09-16T20:25:00.000,WEAPONS VIOLATION,ALLEY,True,False,30,2025,41.839751177,-87.723206639
13970547,2025-09-16T20:25:00.000,ASSAULT,OTHER (SPECIFY),False,False,42,2025,41.778131553,-87.593019014
13969066,2025-09-16T20:25:00.000,BURGLARY,RESIDENCE,False,True,10,2025,41.986305173,-87.790043489
13969717,2025-09-16T20:24:00.000,THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,21,2025,41.93791173,-87.727149134
13969123,2025-09-16T20:20:00.000,CRIMINAL DAMAGE,RESIDENCE,False,False,54,2025,41.657251865,-87.600179558
13969181,2025-09-16T20:15:00.000,THEFT,ATHLETIC CLUB,False,False,21,2025,41.93791173,-87.727149134
13969149,2025-09-16T20:10:00.000,ASSAULT,STREET,False,False,52,2025,41.70821623,-87.536195702
13969337,2025-09-16T20:10:00.000,THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,21,2025,41.93791173,-87.727149134
